Logged,parentName,parentCmd,parentFilePath,objectUser,osDescription,processName,processFilePath,processCmd,objectFilePath,processSigner
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Enterprise (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.199.0924.0001\images\lightTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.199.0924.0001\images\lightTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.199.0924.0001\images\lightTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.199.0924.0001\images\darkTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.199.0924.0001\images\darkTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:35,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.199.0924.0001\images\darkTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Pro (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Pro (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Pro (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Pro (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Pro (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Pro (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k DcomLaunch -p,,Windows 10 Enterprise (64 bit) build 19045,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,"""C:\windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",C:\Users\Akshay.Pai\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\INetCache\JB0YA4ZN\th[1].webp,"[""Microsoft Windows""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Enterprise (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Enterprise (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Enterprise (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Enterprise (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Enterprise (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:33,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,"""C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe"" /update /allusers",,Windows 10 Enterprise (64 bit) build 19045,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe,C:\ProgramData\MspPlatform\PME\ThirdPartyPatch\Downloads\bf76d9e7-15e5-4f5b-957b-557757c9a8ac\OneDriveSetup.exe /update /allusers  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\darkTheme\infiniteDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:32,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\lightRayDiamond.webp,"[""Microsoft Corporation""]"
03/10/2023 12:32,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart,,Windows 10 Pro (64 bit) build 19045,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe,C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe Files\Microsoft OneDrive\Update\OneDriveSetup.exe /allusers /update /restart  /permachine  /childprocess  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2 /cusid:S-1-5-18 ,C:\Program Files\Microsoft OneDrive\23.194.0917.0001\images\lightTheme\infiniteLightRayDiamond.webp,"[""Microsoft Corporation""]"
